District_Name,District_ID,DBStart_Name_En
सरगुजा,39,SURGUJA
बिलासपुर,40,BILASPUR
रायगढ़,41,RAIGARH
राजनांदगांव,42,RAJNANDGAON
दुर्ग,43,DURG
रायपुर,44,RAIPUR
बस्तर,45,BASTAR
कोरिया,53,KORIA
जांजगीर-चाम्पा,54,JANJGIR
कोरबा,55,KORBA
जशपुर,56,JASHPUR
कवर्धा,57,KAWARDHA
महासमुंद,58,MAHASAMUND
धमतरी,59,DHAMTARI
कांकेर,60,KANKER
दन्तेवाड़ा,61,DANTEWADA
नारायणपुर ,62,NARAYANPUR
बीजापुर ,63,BIJAPUR
सुकमा ,64,SUKMA
कोंडागांव ,65,KONDAGAON
बलोदाबजार ,66,BALODA BAJAR
गरियाबंध ,67,GARIYABANDH
बेमेतरा ,68,BEMETARA
बालोद ,69,BALOD
मुंगेली ,70,MUNGELI
सूरजपुर ,71,SURAJPUR
बलरामपुर ,72,BALRAMPUR
गौरेला पेण्ड्रा मरवाही,76,Gaurella Pendra Marwahi
खैरागढ़ छुईखदान गंडई,77,KHAIRGARH CHHUIKHADAN GANDAI
मनेन्द्रगढ़ चिरमिरी भरतपुर,78,MANENDRAGARH CHIRIMIRI BHARATPUR
मोहला मानपुर अम्बागढ़ चौकी,79,MOHLA MANPUR AMBAGARH CHOUKI
सक्ती,80,SAKTI
सारंगढ़ बिलाईगढ़,81,SARANGARH BILAIGARH




(39,"SURGUJA"),(40,"BILASPUR"),(41,"RAIGARH"),(42,"RAJNANDGAON"),(43,"DURG"),(44,"RAIPUR"),(45,"BASTAR"),(53,"KORIA"),(54,"JANJGIR "),(55,"KORBA"),(56,"JASHPUR"),(57,"KAWARDHA"),(58,"MAHASAMUND"),(59,"DHAMTARI"),(60,"KANKER"),(61,"DANTEWADA"),(62,"NARAYANPUR"),(63,"BIJAPUR"),(64,"SUKMA"),(65,"KONDAGAON"),(66,"BALODA BAJAR"),(67,"GARIYABANDH"),(68,"BEMETARA"),(69,"BALOD"),(70,"MUNGELI"),(71,"SURAJPUR"),(72,"BALRAMPUR"),(76,"Gaurella Pendra Marwahi"),(77,"KHAIRGARH CHHUIKHADAN GANDAI"),(78,"MANENDRAGARH CHIRIMIRI BHARATPUR"),(79,"MOHLA MANPUR AMBAGARH CHOUKI"),(80,"SAKTI"),(81,"SARANGARH BILAIGARH")
